fault_type,start_timestamp,start_datetime,end_timestamp,end_datetime,duration,node,extra
cpu,1765653455.729798452,2025-12-13 19:17:35,1765653575.762286733,2025-12-13 19:19:35,120,goguma3,
memory,1765653755.778240083,2025-12-13 19:22:35,1765653876.029914758,2025-12-13 19:24:36,120,goguma3,
disk,1765654056.046017969,2025-12-13 19:27:36,1765654087.406833039,2025-12-13 19:28:07,120,goguma3,
gpu,1765654267.424388549,2025-12-13 19:31:07,1765654394.537713248,2025-12-13 19:33:14,120,goguma3,gpu_0
gpu,1765654574.557663051,2025-12-13 19:36:14,1765654697.376416967,2025-12-13 19:38:17,120,goguma3,gpu_1
gpu,1765654877.393174240,2025-12-13 19:41:17,1765655000.133202921,2025-12-13 19:43:20,120,goguma3,gpu_2
gpu,1765655180.150619582,2025-12-13 19:46:20,1765655303.065951284,2025-12-13 19:48:23,120,goguma3,gpu_3
gpu_throttle,1765655483.086089393,2025-12-13 19:51:23,1765655603.215401468,2025-12-13 19:53:23,120,goguma3,gpu_0_throttle
gpu_throttle,1765655783.236813741,2025-12-13 19:56:23,1765655903.354505360,2025-12-13 19:58:23,120,goguma3,gpu_1_throttle
gpu_throttle,1765656083.370735783,2025-12-13 20:01:23,1765656203.496106204,2025-12-13 20:03:23,120,goguma3,gpu_2_throttle
gpu_throttle,1765656383.511159688,2025-12-13 20:06:23,1765656503.635163295,2025-12-13 20:08:23,120,goguma3,gpu_3_throttle
network,1765656683.653321477,2025-12-13 20:11:23,1765656803.845701022,2025-12-13 20:13:23,120,goguma3,
network_latency,1765656983.876337304,2025-12-13 20:16:23,1765657103.939308194,2025-12-13 20:18:23,120,goguma3
network_loss,1765657283.973386651,2025-12-13 20:21:23,1765657404.036306779,2025-12-13 20:23:24,120,goguma3
network_bandwidth,1765657584.074071508,2025-12-13 20:26:24,1765657704.138492754,2025-12-13 20:28:24,120,goguma3
network_latency_loss,1765657884.171703842,2025-12-13 20:31:24,1765658004.228485712,2025-12-13 20:33:24,120,goguma3
network_corruption,1765658184.260895532,2025-12-13 20:36:24,1765658304.329348001,2025-12-13 20:38:24,120,goguma3
network_link_down,1765658484.361060910,2025-12-13 20:41:24,1765658489.541984211,2025-12-13 20:41:29,120,goguma3
network_flapping,1765658669.574213980,2025-12-13 20:44:29,1765658791.010411528,2025-12-13 20:46:31,120,goguma3
network_mtu_small,1765658971.045711336,2025-12-13 20:49:31,1765659091.273098641,2025-12-13 20:51:31,120,goguma3
network_tcp_buffer,1765659271.308889523,2025-12-13 20:54:31,1765659391.473320367,2025-12-13 20:56:31,120,goguma3
