fault_type,start_timestamp,start_datetime,end_timestamp,end_datetime,node
cpu_,1765653455.722953930,2025-12-13 19:17:35,1765653575.766753673,2025-12-13 19:19:35,goguma3
memory_,1765653755.771555669,2025-12-13 19:22:35,1765653876.032897159,2025-12-13 19:24:36,goguma3
disk_,1765654056.038997927,2025-12-13 19:27:36,1765654087.411269679,2025-12-13 19:28:07,goguma3
gpu_0,1765654267.417238111,2025-12-13 19:31:07,1765654394.543217873,2025-12-13 19:33:14,goguma3
gpu_1,1765654574.550032655,2025-12-13 19:36:14,1765654697.379942585,2025-12-13 19:38:17,goguma3
gpu_2,1765654877.385300373,2025-12-13 19:41:17,1765655000.136985500,2025-12-13 19:43:20,goguma3
gpu_3,1765655180.142671245,2025-12-13 19:46:20,1765655303.071643540,2025-12-13 19:48:23,goguma3
gpu_throttle_0,1765655483.077405374,2025-12-13 19:51:23,1765655603.220823260,2025-12-13 19:53:23,goguma3
gpu_throttle_1,1765655783.228616390,2025-12-13 19:56:23,1765655903.358024804,2025-12-13 19:58:23,goguma3
gpu_throttle_2,1765656083.362958524,2025-12-13 20:01:23,1765656203.501163425,2025-12-13 20:03:23,goguma3
gpu_throttle_3,1765656383.505889360,2025-12-13 20:06:23,1765656503.639716858,2025-12-13 20:08:23,goguma3
network_,1765656683.645866632,2025-12-13 20:11:23,1765656803.850006592,2025-12-13 20:13:23,goguma3
network_latency,1765656983.855381677,2025-12-13 20:16:23,1765657103.946031554,2025-12-13 20:18:23,goguma3
network_loss,1765657283.951809174,2025-12-13 20:21:23,1765657404.044160143,2025-12-13 20:23:24,goguma3
network_bandwidth,1765657584.051031565,2025-12-13 20:26:24,1765657704.144925546,2025-12-13 20:28:24,goguma3
network_latency_loss,1765657884.149908959,2025-12-13 20:31:24,1765658004.233724910,2025-12-13 20:33:24,goguma3
network_corruption,1765658184.239437831,2025-12-13 20:36:24,1765658304.336860261,2025-12-13 20:38:24,goguma3
network_link_down,1765658484.343100886,2025-12-13 20:41:24,1765658489.547952829,2025-12-13 20:41:29,goguma3
network_flapping,1765658669.553777862,2025-12-13 20:44:29,1765658791.016845793,2025-12-13 20:46:31,goguma3
network_mtu_small,1765658971.023704350,2025-12-13 20:49:31,1765659091.279236818,2025-12-13 20:51:31,goguma3
network_tcp_buffer,1765659271.285939179,2025-12-13 20:54:31,1765659391.479929890,2025-12-13 20:56:31,goguma3
