fault_type,start_timestamp,start_datetime,end_timestamp,end_datetime,node
cpu_,1765624849.046314004,2025-12-13 11:20:49,1765624969.102184769,2025-12-13 11:22:49,goguma3
memory_,1765626169.109136039,2025-12-13 11:42:49,1765626289.371622101,2025-12-13 11:44:49,goguma3
disk_,1765627489.377490340,2025-12-13 12:04:49,1765627520.278091604,2025-12-13 12:05:20,goguma3
gpu_0,1765628720.284300820,2025-12-13 12:25:20,1765628842.504623373,2025-12-13 12:27:22,goguma3
gpu_1,1765630042.511342332,2025-12-13 12:47:22,1765630165.092815739,2025-12-13 12:49:25,goguma3
gpu_2,1765631365.099439810,2025-12-13 13:09:25,1765631487.573637094,2025-12-13 13:11:27,goguma3
gpu_3,1765632687.580072638,2025-12-13 13:31:27,1765632810.094550132,2025-12-13 13:33:30,goguma3
network_,1765634010.100968622,2025-12-13 13:53:30,1765634010.117345849,2025-12-13 13:53:30,goguma3
network_latency,1765635210.122356908,2025-12-13 14:13:30,1765635330.208039882,2025-12-13 14:15:30,goguma3
network_loss,1765636530.213995712,2025-12-13 14:35:30,1765636650.303491891,2025-12-13 14:37:30,goguma3
network_bandwidth,1765637850.308871997,2025-12-13 14:57:30,1765637970.389590187,2025-12-13 14:59:30,goguma3
network_latency_loss,1765639170.395677947,2025-12-13 15:19:30,1765639290.485772703,2025-12-13 15:21:30,goguma3
